n_lfcc,n_filters,win_length,use_double_deltas,dev_eer,eval_eer,joint_eer
15,40,400,True,0.1218274111675127,0.1828358208955224,0.15843245700431852
15,40,400,False,0.12690355329949238,0.1865671641791045,0.16270171982725964
15,40,480,True,0.1116751269035533,0.17537313432835822,0.14989393135843626
15,40,480,False,0.1218274111675127,0.17164179104477612,0.15171603909387074
15,60,400,True,0.1218274111675127,0.19029850746268656,0.16291006894461701
15,60,400,False,0.116751269035533,0.1791044776119403,0.15416319418137736
15,60,480,True,0.1065989847715736,0.1828358208955224,0.15234108644594288
15,60,480,False,0.116751269035533,0.1865671641791045,0.1586408061216759
15,80,400,True,0.116751269035533,0.19402985074626866,0.16311841806197439
15,80,400,False,0.12690355329949238,0.19402985074626866,0.16717933176755814
15,80,480,True,0.1116751269035533,0.19029850746268656,0.15884915523903326
15,80,480,False,0.116751269035533,0.19029850746268656,0.16087961209182514
15,100,400,True,0.10152284263959391,0.19776119402985073,0.159265853473748
15,100,400,False,0.09644670050761421,0.19402985074626866,0.15499659065080687
15,100,480,True,0.1218274111675127,0.1865671641791045,0.16067126297446777
15,100,480,False,0.1218274111675127,0.19029850746268656,0.16291006894461701
15,128,400,True,0.1218274111675127,0.19402985074626866,0.16514887491476626
15,128,400,False,0.116751269035533,0.19402985074626866,0.16311841806197439
15,128,480,True,0.1319796954314721,0.19402985074626866,0.16920978862035002
15,128,480,False,0.1218274111675127,0.19029850746268656,0.16291006894461701
15,160,400,True,0.1065989847715736,0.1791044776119403,0.1501022804757936
15,160,400,False,0.1065989847715736,0.19776119402985073,0.16129631032653988
15,160,480,True,0.116751269035533,0.19230769230769232,0.1620851229988286
15,160,480,False,0.12690355329949238,0.1865671641791045,0.16270171982725964
15,200,400,True,0.116751269035533,0.19029850746268656,0.16087961209182514
15,200,400,False,0.09644670050761421,0.19402985074626866,0.15499659065080687
15,200,480,True,0.116751269035533,0.19776119402985073,0.16535722403212363
15,200,480,False,0.1218274111675127,0.19029850746268656,0.16291006894461701
15,256,400,True,0.1116751269035533,0.1865671641791045,0.156610349268884
15,256,400,False,0.10152284263959391,0.19402985074626866,0.15702704750359875
15,256,480,True,0.1116751269035533,0.1865671641791045,0.156610349268884
15,256,480,False,0.1218274111675127,0.19776119402985073,0.1673876808849155
20,40,400,True,0.1218274111675127,0.1828358208955224,0.15843245700431852
20,40,400,False,0.1116751269035533,0.1791044776119403,0.15213273732858548
20,40,480,True,0.116751269035533,0.17164179104477612,0.14968558224107886
20,40,480,False,0.1218274111675127,0.1828358208955224,0.15843245700431852
